trial,learning_rate,hidden_dim,hidden_dim2,weight_decay,lr_decay,grad_clip,activation,best_val_accuracy,test_accuracy,run_dir
1,0.006,768,384,0.0001,0.02,4.0,relu,0.662716049382716,0.6518518518518519,/data/yc/CS60003/hw1/outputs/runs/trial_01
2,0.008,768,768,0.0002,0.02,4.0,relu,0.6651851851851852,0.6585185185185185,/data/yc/CS60003/hw1/outputs/runs/trial_02
3,0.01,768,512,5e-05,0.03,2.5,relu,0.6659259259259259,0.6587654320987655,/data/yc/CS60003/hw1/outputs/runs/trial_03
4,0.012,1280,768,0.0002,0.01,3.0,relu,0.6837037037037037,0.6634567901234568,/data/yc/CS60003/hw1/outputs/runs/trial_04
5,0.006,768,512,5e-05,0.03,4.0,relu,0.6614814814814814,0.6501234567901235,/data/yc/CS60003/hw1/outputs/runs/trial_05
6,0.012,1024,768,0.0001,0.03,2.5,relu,0.6733333333333333,0.6745679012345679,/data/yc/CS60003/hw1/outputs/runs/trial_06
7,0.01,1280,512,0.0001,0.02,4.0,relu,0.6760493827160494,0.6681481481481482,/data/yc/CS60003/hw1/outputs/runs/trial_07
8,0.01,768,384,5e-05,0.02,3.0,relu,0.674320987654321,0.6617283950617284,/data/yc/CS60003/hw1/outputs/runs/trial_08
9,0.012,768,512,0.0001,0.02,2.5,tanh,0.6083950617283951,0.6037037037037037,/data/yc/CS60003/hw1/outputs/runs/trial_09
10,0.012,768,768,0.0001,0.03,4.0,tanh,0.6081481481481481,0.6027160493827161,/data/yc/CS60003/hw1/outputs/runs/trial_10
11,0.01,1280,512,5e-05,0.02,2.5,tanh,0.6101234567901235,0.6046913580246913,/data/yc/CS60003/hw1/outputs/runs/trial_11
12,0.008,1024,384,0.0001,0.02,3.0,relu,0.6730864197530865,0.6587654320987655,/data/yc/CS60003/hw1/outputs/runs/trial_12
13,0.008,1024,768,0.0002,0.01,4.0,tanh,0.6039506172839506,0.597037037037037,/data/yc/CS60003/hw1/outputs/runs/trial_13
14,0.01,1024,384,0.0001,0.01,4.0,relu,0.6738271604938272,0.6718518518518518,/data/yc/CS60003/hw1/outputs/runs/trial_14
15,0.01,1280,768,0.0001,0.02,3.0,tanh,0.6096296296296296,0.6046913580246913,/data/yc/CS60003/hw1/outputs/runs/trial_15
16,0.008,1024,384,5e-05,0.02,3.0,relu,0.6696296296296296,0.6622222222222223,/data/yc/CS60003/hw1/outputs/runs/trial_16
17,0.012,1280,512,5e-05,0.03,2.5,relu,0.677037037037037,0.6706172839506173,/data/yc/CS60003/hw1/outputs/runs/trial_17
18,0.012,768,768,5e-05,0.02,3.0,relu,0.6745679012345679,0.674074074074074,/data/yc/CS60003/hw1/outputs/runs/trial_18
19,0.012,1280,384,0.0002,0.01,4.0,relu,0.6797530864197531,0.6602469135802469,/data/yc/CS60003/hw1/outputs/runs/trial_19
20,0.008,1024,384,0.0001,0.02,4.0,tanh,0.5995061728395061,0.5987654320987654,/data/yc/CS60003/hw1/outputs/runs/trial_20
21,0.008,1280,384,0.0001,0.02,2.5,tanh,0.605925925925926,0.5992592592592593,/data/yc/CS60003/hw1/outputs/runs/trial_21
22,0.012,768,512,0.0002,0.02,2.5,tanh,0.608641975308642,0.6034567901234568,/data/yc/CS60003/hw1/outputs/runs/trial_22
23,0.006,1024,384,5e-05,0.03,2.5,tanh,0.5908641975308642,0.5871604938271605,/data/yc/CS60003/hw1/outputs/runs/trial_23
24,0.012,1280,384,5e-05,0.02,3.0,relu,0.6792592592592592,0.6639506172839507,/data/yc/CS60003/hw1/outputs/runs/trial_24
