step,epoch,phase,train_loss,train_action_l1,lr,eval_action_l1,source
50,,train,1.8376606702804563,0.2287152707576751,0.0001,,swanlab
100,,train,1.10193932056427,0.1953370422124862,0.0001,,swanlab
150,,train,0.7598252296447754,0.1857922822237014,0.0001,,swanlab
200,,train,0.5174468755722046,0.1692013442516327,0.0001,,swanlab
250,,train,0.3822141885757446,0.1620563864707946,0.0001,,swanlab
300,,train,0.3235105872154236,0.1682146340608596,0.0001,,swanlab
350,,train,0.2551988363265991,0.1451582163572311,0.0001,,swanlab
400,,train,0.2357634752988815,0.1581989824771881,0.0001,,swanlab
450,,train,0.2209950685501098,0.1559260636568069,0.0001,,swanlab
500,,train,0.1845381855964661,0.1340969353914261,0.0001,,swanlab
550,,train,0.1857829093933105,0.1475712954998016,0.0001,,swanlab
600,,train,0.1854608207941055,0.15098737180233,0.0001,,swanlab
650,,train,0.1707676351070404,0.1403282135725021,0.0001,,swanlab
700,,train,0.1697357445955276,0.1476858556270599,0.0001,,swanlab
750,,train,0.1700290739536285,0.1542602330446243,0.0001,,swanlab
800,,train,0.1432260274887085,0.1270317733287811,0.0001,,swanlab
850,,train,0.1554067432880401,0.144962728023529,0.0001,,swanlab
900,,train,0.1479739397764206,0.1405477374792099,0.0001,,swanlab
950,,train,0.1469734758138656,0.1382373422384262,0.0001,,swanlab
1000,,train,0.14374740421772,0.1368190050125122,0.0001,,swanlab
1050,,train,0.1482351720333099,0.1423943489789962,0.0001,,swanlab
1100,,train,0.1425027698278427,0.1366575211286544,0.0001,,swanlab
1150,,train,0.1292989403009414,0.1222874969244003,0.0001,,swanlab
1200,,train,0.1385883837938308,0.1308600306510925,0.0001,,swanlab
1250,,train,0.1425488889217376,0.1378762871026992,0.0001,,swanlab
1300,,train,0.1413259804248809,0.1371499300003051,0.0001,,swanlab
1350,,train,0.1345691084861755,0.130823016166687,0.0001,,swanlab
1400,,train,0.1338860541582107,0.1298199445009231,0.0001,,swanlab
1450,,train,0.1251259446144104,0.1211028099060058,0.0001,,swanlab
1500,,train,0.1324585974216461,0.1295729428529739,0.0001,,swanlab
1550,,train,0.1263163238763809,0.1232264786958694,0.0001,,swanlab
1600,,train,0.1258994936943054,0.1191824749112129,0.0001,,swanlab
1650,,train,0.1286035031080246,0.1257216930389404,0.0001,,swanlab
1700,,train,0.1347120851278305,0.1291911005973816,0.0001,,swanlab
1750,,train,0.1312161087989807,0.1269029974937439,0.0001,,swanlab
1800,,train,0.135949894785881,0.1311057358980178,0.0001,,swanlab
1850,,train,0.1199338808655738,0.1165075004100799,0.0001,,swanlab
1900,,train,0.1321131885051727,0.1287058442831039,0.0001,,swanlab
1950,,train,0.1222446039319038,0.1192643493413925,0.0001,,swanlab
2000,,train,0.1122445538640022,0.1092944294214248,0.0001,,swanlab
2050,,train,0.1131415069103241,0.1085422113537788,0.0001,,swanlab
2094,,eval,,,,0.1481938809156417,swanlab
2100,,train,0.112331636250019,0.1095217242836952,0.0001,,swanlab
2150,,train,0.1142205446958542,0.109903946518898,0.0001,,swanlab
2200,,train,0.129284530878067,0.1229813992977142,0.0001,,swanlab
2250,,train,0.1285089701414108,0.1237966194748878,0.0001,,swanlab
2300,,train,0.1176931411027908,0.1107124388217926,0.0001,,swanlab
2350,,train,0.1050114929676056,0.1008297577500343,0.0001,,swanlab
2400,,train,0.1107123866677284,0.1076200604438781,0.0001,,swanlab
2450,,train,0.1179966703057289,0.1146232262253761,0.0001,,swanlab
2500,,train,0.1110141053795814,0.1088192537426948,0.0001,,swanlab
2550,,train,0.1128434985876083,0.1093149930238723,0.0001,,swanlab
2600,,train,0.1155935078859329,0.1129833534359932,0.0001,,swanlab
2650,,train,0.1101754382252693,0.108371116220951,0.0001,,swanlab
2700,,train,0.1051718592643737,0.101846307516098,0.0001,,swanlab
2750,,train,0.1065151989459991,0.103592999279499,0.0001,,swanlab
2800,,train,0.1192474290728569,0.1160742938518524,0.0001,,swanlab
2850,,train,0.1109517961740493,0.1076693907380104,0.0001,,swanlab
2900,,train,0.1143872663378715,0.1128161028027534,0.0001,,swanlab
2950,,train,0.1054216623306274,0.1034484133124351,0.0001,,swanlab
3000,,train,0.1132397577166557,0.1103153824806213,0.0001,,swanlab
3050,,train,0.118932120501995,0.1163954585790634,0.0001,,swanlab
3100,,train,0.1028731763362884,0.1010674312710762,0.0001,,swanlab
3150,,train,0.1163997203111648,0.1140307560563087,0.0001,,swanlab
3200,,train,0.0944140031933784,0.0920916348695755,0.0001,,swanlab
3250,,train,0.0977671667933464,0.0964348688721656,0.0001,,swanlab
3300,,train,0.1193486601114273,0.1167108714580536,0.0001,,swanlab
3350,,train,0.0996399298310279,0.0977219715714454,0.0001,,swanlab
3400,,train,0.1008812487125396,0.0976665318012237,0.0001,,swanlab
3450,,train,0.1061889007687568,0.1034185737371444,0.0001,,swanlab
3500,,train,0.1020070612430572,0.0982584804296493,0.0001,,swanlab
3550,,train,0.1045692712068557,0.101510189473629,0.0001,,swanlab
3600,,train,0.1038446947932243,0.1005224511027336,0.0001,,swanlab
3650,,train,0.1047460436820984,0.0995313674211502,0.0001,,swanlab
3700,,train,0.1186012998223304,0.1152851283550262,0.0001,,swanlab
3750,,train,0.0977391079068184,0.0938778445124626,0.0001,,swanlab
3800,,train,0.1071791499853134,0.1042065843939781,0.0001,,swanlab
3850,,train,0.1000787988305092,0.0956422388553619,0.0001,,swanlab
3900,,train,0.1045128926634788,0.1011990532279014,0.0001,,swanlab
3950,,train,0.0932991951704025,0.0907482281327247,0.0001,,swanlab
4000,,train,0.0997837111353874,0.0963842198252678,0.0001,,swanlab
4050,,train,0.0918064415454864,0.0894035398960113,0.0001,,swanlab
4100,,train,0.1072343811392784,0.1040378510951995,0.0001,,swanlab
4150,,train,0.1159828454256057,0.1137047186493873,0.0001,,swanlab
4188,,eval,,,,0.1486425548791885,swanlab
4200,,train,0.0985347554087638,0.0966807380318641,0.0001,,swanlab
4250,,train,0.10055922716856,0.0984050557017326,0.0001,,swanlab
4300,,train,0.0992763042449951,0.0969148054718971,0.0001,,swanlab
