step,train_loss,train_loss_timestamp,train_action_l1,train_action_l1_timestamp,eval_action_l1,eval_action_l1_timestamp,lr,lr_timestamp
50,1.8376606702804563,1781286041000.0,0.2287152707576751,1781286041000.0,,,0.0001,1781286041000.0
100,1.10193932056427,1781286057000.0,0.1953370422124862,1781286057000.0,,,0.0001,1781286057000.0
150,0.7598252296447754,1781286072000.0,0.1857922822237014,1781286072000.0,,,0.0001,1781286072000.0
200,0.5174468755722046,1781286087000.0,0.1692013442516327,1781286087000.0,,,0.0001,1781286087000.0
250,0.3822141885757446,1781286103000.0,0.1620563864707946,1781286103000.0,,,0.0001,1781286103000.0
300,0.3235105872154236,1781286118000.0,0.1682146340608596,1781286118000.0,,,0.0001,1781286118000.0
350,0.2551988363265991,1781286133000.0,0.1451582163572311,1781286133000.0,,,0.0001,1781286133000.0
400,0.2357634752988815,1781286148000.0,0.1581989824771881,1781286148000.0,,,0.0001,1781286148000.0
450,0.2209950685501098,1781286163000.0,0.1559260636568069,1781286163000.0,,,0.0001,1781286163000.0
500,0.1845381855964661,1781286179000.0,0.1340969353914261,1781286179000.0,,,0.0001,1781286179000.0
550,0.1857829093933105,1781286194000.0,0.1475712954998016,1781286194000.0,,,0.0001,1781286194000.0
600,0.1854608207941055,1781286209000.0,0.15098737180233,1781286209000.0,,,0.0001,1781286209000.0
650,0.1707676351070404,1781286223000.0,0.1403282135725021,1781286223000.0,,,0.0001,1781286223000.0
700,0.1697357445955276,1781286238000.0,0.1476858556270599,1781286238000.0,,,0.0001,1781286238000.0
750,0.1700290739536285,1781286252000.0,0.1542602330446243,1781286252000.0,,,0.0001,1781286252000.0
800,0.1432260274887085,1781286267000.0,0.1270317733287811,1781286267000.0,,,0.0001,1781286267000.0
850,0.1554067432880401,1781286283000.0,0.144962728023529,1781286283000.0,,,0.0001,1781286283000.0
900,0.1479739397764206,1781286297000.0,0.1405477374792099,1781286297000.0,,,0.0001,1781286297000.0
950,0.1469734758138656,1781286311000.0,0.1382373422384262,1781286311000.0,,,0.0001,1781286311000.0
1000,0.14374740421772,1781286326000.0,0.1368190050125122,1781286326000.0,,,0.0001,1781286326000.0
1050,0.1482351720333099,1781286341000.0,0.1423943489789962,1781286341000.0,,,0.0001,1781286341000.0
1100,0.1425027698278427,1781286356000.0,0.1366575211286544,1781286356000.0,,,0.0001,1781286356000.0
1150,0.1292989403009414,1781286371000.0,0.1222874969244003,1781286371000.0,,,0.0001,1781286371000.0
1200,0.1385883837938308,1781286386000.0,0.1308600306510925,1781286386000.0,,,0.0001,1781286386000.0
1250,0.1425488889217376,1781286400000.0,0.1378762871026992,1781286400000.0,,,0.0001,1781286400000.0
1300,0.1413259804248809,1781286415000.0,0.1371499300003051,1781286415000.0,,,0.0001,1781286415000.0
1350,0.1345691084861755,1781286430000.0,0.130823016166687,1781286430000.0,,,0.0001,1781286430000.0
