head_raw	tail_raw	relation_raw	head	tail	relation	note
孙悟空	灵台方寸山	前往	孙悟空	灵台方寸山	前往	
孙悟空	水帘洞	居住于	孙悟空	水帘洞	居住于	
孙悟空	水帘洞	带领群猴进入	孙悟空	水帘洞	带领群猴进入	
孙悟空	千岁大王	被拥立为王	孙悟空	千岁大王	被拥立为王	
樵夫	灵台方寸山	指引	樵夫	灵台方寸山	指引	
水帘洞	花果山	位于	水帘洞	花果山	位于	
玉皇大帝	千里眼、顺风耳	传旨	玉皇大帝	千里眼、顺风耳	传旨	
花果山	东胜神洲	位于	花果山	东胜神洲	位于	
须菩提祖师	斜月三星洞	居住于	须菩提祖师	斜月三星洞	居住于	
孙悟空	筋斗云	使用	孙悟空	筋斗云	使用	
孙悟空	花果山水帘洞	到达	孙悟空	花果山水帘洞	到达	
孙悟空	水脏洞	前往	孙悟空	水脏洞	前往	
孙悟空	松树	变作	孙悟空	松树	变作	
孙悟空	混世魔王	战败	孙悟空	混世魔王	战败	
孙悟空	混世魔王	擒拿	孙悟空	混世魔王	擒拿	
孙悟空	松树	施展地煞变化	孙悟空	松树	施展地煞变化	
孙悟空	毫毛	施展身外身法	孙悟空	毫毛	施展身外身法	fill_tail_cate
混世魔王	众猴	欺压	混世魔王	众猴	欺压	
东海龙王敖广	玉皇大帝	奏请	东海龙王敖广	玉皇大帝	奏请	
北海龙王敖顺	藕丝步云履	奉命献上	北海龙王敖顺	藕丝步云履	献上	
南海龙王敖钦	凤翅紫金冠	奉命献上	南海龙王敖钦	凤翅紫金冠	献上	
孙悟空	十代冥王	挑战	孙悟空	十代冥王	挑战	
孙悟空	闭水法	施展神通	孙悟空	闭水法	施展神通	
孙悟空	牛魔王	结义	孙悟空	牛魔王	结义	
孙悟空	狮驼王	结义	孙悟空	狮驼王	结义	
孙悟空	猕猴王	结义	孙悟空	猕猴王	结义	
孙悟空	蛟魔王	结义	孙悟空	蛟魔王	结义	
孙悟空	鹏魔王	结义	孙悟空	鹏魔王	结义	
孙悟空	天河底的神珍铁	获得如意金箍棒	孙悟空	天河底的神珍铁	获得如意金箍棒	
孙悟空	兵器馆	进入	孙悟空	兵器馆	进入	
西海龙王敖闰	锁子黄金甲	奉命献上	西海龙王敖闰	锁子黄金甲	献上	
增长天王	天门	挡住	增长天王	天门	挡住	
太白金星	孙悟空	奉命招安	太白金星	孙悟空	奉命招安	
太白金星	玉皇大帝	奏请	太白金星	玉皇大帝	奏请	
太白金星	孙悟空	奏请封为	太白金星	孙悟空	奏请封为	align_tail_type_to_mode_hi_conf
孙悟空	南天门	前往	孙悟空	南天门	前往	
孙悟空	三头六臂	变作	孙悟空	三头六臂	变作	
孙悟空	本相	变作	孙悟空	本相	变作	
孙悟空	花果山	回至	孙悟空	花果山	回至	
孙悟空	御马监	打出	孙悟空	御马监	打出	
孙悟空	孙悟空	拒绝	孙悟空	孙悟空	拒绝	align_tail_type_to_mode_hi_conf|drop_self_loop
孙悟空	孙悟空	拒绝	孙悟空	孙悟空	拒绝	align_tail_type_to_mode_hi_conf|drop_self_loop
孙悟空	齐天大圣府	获得	孙悟空	齐天大圣府	获得	
武曲星君	孙悟空	奏请授官	武曲星君	孙悟空	奏请授官	
独角鬼王	赭黄袍	献上	独角鬼王	赭黄袍	献上	
孙悟空	蟠桃园	代管	孙悟空	蟠桃园	代管	
孙悟空	蟠桃	偷吃	孙悟空	蟠桃	偷吃	
孙悟空	金丹	偷吃	孙悟空	金丹	偷吃	
孙悟空	瑶池	前往	孙悟空	瑶池	前往	
孙悟空	蟠桃园	前往	孙悟空	蟠桃园	前往	
孙悟空	通明殿	前往	孙悟空	通明殿	前往	
孙悟空	蟠桃园	奉命看管	孙悟空	蟠桃园	奉命看管	
孙悟空	九曜星	战败	孙悟空	九曜星	战败	
孙悟空	仙酒会	设宴	孙悟空	仙酒会	设宴	
玉皇大帝	孙悟空	点差	玉皇大帝	孙悟空	点差	
惠岸行者	花果山	前往	惠岸行者	花果山	前往	
李天王	花果山	安营下寨	李天王	花果山	安营下寨	
玉皇大帝	二郎真君	奏请助兵	玉皇大帝	二郎真君	奏请助兵	
玉皇大帝	二郎真君	调遣	玉皇大帝	二郎真君	调遣	
观音菩萨	惠岸行者	命打探	观音菩萨	惠岸行者	命打探	
佑圣真君	孙悟空	调三十六员雷将围困	佑圣真君	孙悟空	调三十六员雷将围困	
如来佛祖	孙悟空	压住	如来佛祖	孙悟空	压住	
如来佛祖	孙悟空	打赌定输赢	如来佛祖	孙悟空	打赌定输赢	
如来佛祖	孙悟空	降伏	如来佛祖	孙悟空	降伏	
孙悟空	斩妖台	被押往	孙悟空	斩妖台	被押往	
孙悟空	降妖柱	被绑在上	孙悟空	降妖柱	被绑在上	
玉皇大帝	云部众神	传旨	玉皇大帝	云部众神	传旨	
玉皇大帝	太上老君	传旨交付	玉皇大帝	太上老君	传旨交付	
玉皇大帝	如来佛祖	奏请降伏	玉皇大帝	如来佛祖	奏请降伏	
玉皇大帝	孙悟空	封为	玉皇大帝	孙悟空	封为	align_tail_type_to_mode_hi_conf
玉皇大帝	二郎显圣	赏赐	玉皇大帝	二郎显圣	赏赐	
如来佛祖	孙悟空	封压于五行山	如来佛祖	孙悟空	封压于五行山	split_embedded_place_action|add_target_locative
观音菩萨	东土	前往	观音菩萨	东土	前往	
观音菩萨	东土	奉命寻取经人	观音菩萨	东土	奉命寻取经人	
泾河龙王	皇宫	前往	泾河龙王	皇宫	前往	
泾河龙王	玉帝敕旨	违犯天条	泾河龙王	玉帝敕旨	违犯天条	
泾河龙王	玉帝敕旨	违犯天条	泾河龙王	玉帝敕旨	违犯天条	
魏征	泾河龙王	奉命斩杀	魏征	泾河龙王	奉命斩杀	fill_head_cate
太宗	魏征	召见	唐太宗	魏征	召见	
太宗	魏征	对弈	唐太宗	魏征	对弈	
太宗	泾河龙王	许救	唐太宗	泾河龙王	许救	
崔珪	酆都判官	掌案	崔珪	酆都判官	掌案	
崔珪	酆都判官	掌案	崔珪	酆都判官	掌案	fill_head_cate
崔珪	太宗	放还	崔珪	唐太宗	放还	
秦叔宝	太宗	献龙头	秦叔宝	唐太宗	献龙头	
观音菩萨	东土	领佛旨	观音菩萨	东土	领佛旨	fill_tail_cate
魏征	崔珪	托书	魏征	崔珪	托书	
魏征	泾河龙王	梦斩	魏征	泾河龙王	梦斩	
傅奕	太宗	上疏止浮图	傅奕	唐太宗	上疏止浮图	
唐太宗	六道轮回	前往	唐太宗	六道轮回	前往	
唐太宗	刘全	赐予御旨	唐太宗	刘全	赐予御旨	
崔判官	唐太宗	送回阳世	崔判官	唐太宗	送回阳世	
朱太尉	渭水河边	送至	朱太尉	渭水河边	送至	
阎王	生死文簿	检看	阎王	生死文簿	检看	
阎王	唐太宗	检看生死簿	阎王	唐太宗	检看生死簿	
鬼使	金亭馆	推入	鬼使	金亭馆	推入	
唐三藏	九环锡杖	手持	唐三藏	九环锡杖	手持	
唐三藏	锦襕异宝袈裟	披上	唐三藏	锦襕异宝袈裟	披上	
唐王	御弟圣僧	任命为	唐王	御弟圣僧	任命为	
唐王	御弟圣僧	加封为	唐王	御弟圣僧	加封为	
唐王	观世音菩萨	宣至宝殿	唐王	观世音菩萨	宣至宝殿	
唐王	紫金钵盂	赐予	唐王	紫金钵盂	赐予	
唐王	银駔的马	赐予	唐王	银駔的马	赐予	
太宗	唐三藏	传旨	唐太宗	唐三藏	传旨	
太宗	唐三藏	赐予	唐太宗	唐三藏	赐予	
观世音菩萨	长安城	奉命访察	观世音菩萨	长安城	奉命访察	
唐三藏	法门寺	到达	唐三藏	法门寺	到达	
唐三藏	西天	前往	唐三藏	西天	前往	
唐三藏	唐王	奉命取经	唐三藏	唐王	奉命取经	
唐三藏	佛前	立誓	唐三藏	佛前	立誓	
唐三藏	佛前	立誓取经	唐三藏	佛前	立誓取经	
唐三藏	大园子	进入	唐三藏	大园子	进入	
寅将军	二从者	吃掉	寅将军	二从者	吃掉	
寅将军	熊山君	盟友	寅将军	熊山君	盟友	
寅将军	特处士	盟友	寅将军	特处士	盟友	
熊山君	寅将军	盟友	熊山君	寅将军	盟友	
特处士	寅将军	盟友	特处士	寅将军	盟友	
五行山	两界山	位于	五行山	两界山	位于	
唐三藏	金字压帖	揭起	唐三藏	金字压帖	揭起	
孙悟空	东洋大海	前往	孙悟空	东洋大海	前往	
观音菩萨	紧箍儿咒	授与	观音菩萨	紧箍儿咒	授与	
孙悟空	玉龙三太子	挑战	孙悟空	玉龙三太子	挑战	
山神土地	唐三藏	奉命送鞍辔	山神土地	唐三藏	奉命送鞍辔	
观音菩萨	白马	化形为	观音菩萨	白马	化形为	fill_tail_cate
观音菩萨	白马	教化为	观音菩萨	白马	教化为	fill_tail_cate
孙悟空	辟火罩儿	使用	孙悟空	辟火罩儿	使用	
孙悟空	唐三藏	保护	孙悟空	唐三藏	保护	
孙悟空	方丈	保护	孙悟空	方丈	保护	
孙悟空	辟火罩儿	借取	孙悟空	辟火罩儿	借取	
孙悟空	黑风山	前往	孙悟空	黑风山	前往	
孙悟空	蜜蜂儿	变作	孙悟空	蜜蜂儿	变作	
孙悟空	观音禅院	带领前往	孙悟空	观音禅院	带领前往	
孙悟空	唐三藏	救助	孙悟空	唐三藏	救助	
孙悟空	袈裟	索要	孙悟空	袈裟	索要	
广智	老和尚	献计	广智	老和尚	献计	
老和尚	唐三藏	谋害	老和尚	唐三藏	谋害	
黑风洞	黑风山	位于	黑风洞	黑风山	位于	
孙悟空	仙丹	变作	孙悟空	仙丹	变作	
孙悟空	金池长老	变作	孙悟空	金池长老	变作	
孙悟空	观音菩萨	告状	孙悟空	观音菩萨	告状	
孙悟空	黑风王	挑战	孙悟空	黑风王	挑战	
孙悟空	金池长老	施展变化	孙悟空	金池长老	施展变化	
孙悟空	黑风王	索要袈裟	孙悟空	黑风王	索要袈裟	
孙悟空	黑风王	追杀	孙悟空	黑风王	追杀	
黑风山	黑风洞	位于	黑风山	黑风洞	位于	fill_head_cate
黑风洞	佛衣会	设宴	黑风洞	佛衣会	设宴	
黑风洞	佛衣会	设有	黑风洞	佛衣会	设有	
黑风王	孙悟空	敌对	黑风王	孙悟空	敌对	
唐三藏	南	设香案	唐三藏	南	设香案	
孙悟空	女子	变作	孙悟空	女子	变作	
孙悟空	唐三藏	坠阶前	孙悟空	唐三藏	坠阶前	
孙悟空	香楠树	按落云头	孙悟空	香楠树	按落云头	
孙悟空	火眼金睛	施展	孙悟空	火眼金睛	施展	
孙悟空	神通	施展	孙悟空	神通	施展	
孙悟空	金箍棒	施展	孙悟空	金箍棒	施展	
孙悟空	自己	现出原身	孙悟空	自己	现出原身	
孙悟空	钥匙	索要	孙悟空	钥匙	索要	
孙悟空	袈裟	获得	孙悟空	袈裟	获得	fill_tail_cate
孙悟空	菩萨	请施变化降妖	孙悟空	菩萨	请施变化降妖	
孙悟空	猪刚鬣	追杀	孙悟空	猪刚鬣	追杀	
乌巢禅师	唐三藏	传经	乌巢禅师	唐三藏	传经	
猪刚鬣	狂风	化为	猪刚鬣	狂风	化为	
猪刚鬣	孙悟空	挑战	猪刚鬣	孙悟空	挑战	
猪刚鬣	九齿钉钯	获得	猪刚鬣	九齿钉钯	获得	
猪刚鬣	孙悟空	追杀	猪刚鬣	孙悟空	追杀	
黄风大王	唐三藏	奉命捉拿	黄风大王	唐三藏	奉命捉拿	
如来佛祖	灵吉菩萨	赐予飞龙宝杖	如来佛祖	灵吉菩萨	赐予飞龙宝杖	
孙悟空	老妖	挑战	孙悟空	老妖	挑战	
李长庚	清风	化作	李长庚	清风	化作	
灵吉菩萨	黄毛貂鼠	奉命捉拿	灵吉菩萨	黄毛貂鼠	奉命捉拿	
灵吉菩萨	黄毛貂鼠	奉命辖押	灵吉菩萨	黄毛貂鼠	奉命辖押	
灵吉菩萨	黄毛貂鼠	带去见如来	灵吉菩萨	黄毛貂鼠	带去见如来	
灵吉菩萨	黄毛貂鼠	施法力降妖	灵吉菩萨	黄毛貂鼠	施法力降妖	
灵吉菩萨	黄毛貂鼠	明正其罪	灵吉菩萨	黄毛貂鼠	明正其罪	
灵吉菩萨	孙悟空	赐予飞龙宝杖	灵吉菩萨	孙悟空	赐予飞龙宝杖	
老妖	孙悟空	追杀	老妖	孙悟空	追杀	
黄毛貂鼠	琉璃盏	偷取	黄毛貂鼠	琉璃盏	偷取	
木叉行者	流沙河	前往	木叉行者	流沙河	前往	
木叉行者	法船	奉命作法	木叉行者	法船	奉命作法	
木叉行者	沙悟净	奉命引归	木叉行者	沙悟净	奉命引归	
木叉行者	沙悟净	奉命捉拿	木叉行者	沙悟净	奉命捉拿	
沙悟净	法船	使用骷髅	沙悟净	法船	使用骷髅	
沙悟净	猪八戒	敌对	沙悟净	猪八戒	敌对	
玉皇大帝	卷帘将	亲口封为	玉皇大帝	卷帘将	亲口封为	
观音菩萨	猪八戒	赐法讳	观音菩萨	猪八戒	赐法讳	
孙悟空	猪八戒	嘲笑	孙悟空	猪八戒	嘲笑	
猪八戒	马匹	牵马放马	猪八戒	马匹	牵马放马	
猪八戒	汗衫	被绳绷住	猪八戒	汗衫	被绳绷住	
西海龙王敖闰	龙马三太子	告了忤逆	西海龙王敖闰	龙马三太子	告了忤逆	
观音菩萨	龙马三太子	摘了项下珠	观音菩萨	龙马三太子	摘了项下珠	
观音菩萨	龙马三太子	救下	观音菩萨	龙马三太子	救下	
观音菩萨	龙马三太子	退鳞去角	观音菩萨	龙马三太子	退鳞去角	
万寿山	西牛贺洲	位于	万寿山	西牛贺洲	位于	
五庄观	万寿山	位于	五庄观	万寿山	位于	force_head_place_by_rel_位于
孙悟空	人参果	偷取	孙悟空	人参果	偷取	
明月	唐三藏	告状	明月	唐三藏	告状	
明月	五庄观	居住于	明月	五庄观	居住于	force_tail_place_by_relation
明月	猪八戒	怀疑	明月	猪八戒	怀疑	
明月	唐三藏	接待	明月	唐三藏	接待	
明月	唐三藏	接待故人	明月	唐三藏	接待故人	fill_head_cate
清风	五庄观	居住于	清风	五庄观	居住于	force_tail_place_by_relation
清风	猪八戒	怀疑	清风	猪八戒	怀疑	
猪八戒	孙悟空	求助	猪八戒	孙悟空	求助	
镇元子	明月	吩咐看家	镇元子	明月	吩咐看家	fill_tail_cate
镇元子	清风	吩咐看家	镇元子	清风	吩咐看家	
镇元子	弥罗宫	奉命听讲	镇元子	弥罗宫	奉命听讲	
镇元子	五庄观	居住于	镇元子	五庄观	居住于	force_tail_place_by_relation
孙悟空	金箍棒	使用	孙悟空	金箍棒	使用	
孙悟空	人参树	推倒	孙悟空	人参树	推倒	
孙悟空	解锁法	施展	孙悟空	解锁法	施展	
东华大帝君	孙悟空	接待	东华大帝君	孙悟空	接待	
孙悟空	蓬莱仙境	到达	孙悟空	蓬莱仙境	到达	
孙悟空	方丈仙山	前往	孙悟空	方丈仙山	前往	
孙悟空	瀛洲海岛	前往	孙悟空	瀛洲海岛	前往	
孙悟空	九老	求医人参果树	孙悟空	九老	求医人参果树	
观音菩萨	落伽山	居住于	观音菩萨	落伽山	居住于	
孙悟空	南山	前往	孙悟空	南山	前往	
孙悟空	三个行者	变作	孙悟空	三个行者	变作	
孙悟空	白骨夫人	奉命捉拿	孙悟空	白骨夫人	奉命捉拿	
孙悟空	铁棒	掣出	孙悟空	铁棒	掣出	
孙悟空	桃子	摘取	孙悟空	桃子	摘取	
孙悟空	身外法	施展	孙悟空	身外法	施展	
镇元子	孙悟空	结为兄弟	镇元子	孙悟空	结为兄弟	
二郎神	花果山	放火烧毁	二郎神	花果山	放火烧毁	
二郎神	花果山	放火焚烧	二郎神	花果山	放火焚烧	
大圣	巽地	作起大风	孙悟空	巽地	作起大风	
大圣	碎石	作起大风	孙悟空	碎石	作起大风	
大圣	西天取经	保唐僧	孙悟空	西天取经	保唐僧	
大圣	四海龙王	借甘霖仙水	孙悟空	四海龙王	借甘霖仙水	
大圣	四海龙王	借甘霖仙水	孙悟空	四海龙王	借甘霖仙水	
大圣	杂彩花旗	竖起花旗	孙悟空	杂彩花旗	竖起花旗	
大圣	水帘洞	竖起花旗	孙悟空	水帘洞	竖起花旗	
大圣	猎户	结果	孙悟空	猎户	结果	
黄袍老怪	猪八戒	出战	黄袍老怪	猪八戒	出战	
沙悟净	波月洞	前往	沙悟净	波月洞	前往	
沙悟净	黄袍怪	奉命捉拿	沙悟净	黄袍怪	奉命捉拿	
猪八戒	波月洞	前往	猪八戒	波月洞	前往	
猪八戒	黄袍怪	奉命捉拿	猪八戒	黄袍怪	奉命捉拿	
猪八戒	波月洞	筑门	猪八戒	波月洞	筑门	fill_tail_cate
百花羞	波月洞	居住于	百花羞	波月洞	居住于	fill_tail_cate
百花羞	唐三藏	救助	百花羞	唐三藏	救助	
黄袍怪	沙悟净	擒拿	黄袍怪	沙悟净	擒拿	
小龙王	唐三藏	救助	小龙王	唐三藏	救助	
小龙王	银安殿	进入	小龙王	银安殿	进入	
猪八戒	孙悟空	奏请	猪八戒	孙悟空	奏请	
猪八戒	孙悟空	请人来救	猪八戒	孙悟空	请人来救	
老妖	宝象国	前往	老妖	宝象国	前往	
老妖	俊俏之人	变作	老妖	俊俏之人	变作	
